日期,淨值,MA_7,MA_15,MA_30
2021/05/14,9.87,9.87142857142857,9.958666666666666,10.054
2021/05/12,9.88,9.857142857142858,9.947333333333331,10.040333333333333
2021/05/11,9.91,9.852857142857143,9.938,10.028666666666668
2021/05/10,10.01,9.872857142857143,9.939333333333334,10.020999999999999
2021/05/07,10.08,9.921428571428573,9.941333333333331,10.015666666666668
2021/05/06,10.0,9.94,9.937333333333331,10.011333333333333
2021/05/05,10.06,9.972857142857142,9.936666666666666,10.010666666666667
2021/05/04,10.03,9.995714285714286,9.937999999999999,10.008666666666667
2021/05/03,10.16,10.035714285714286,9.948666666666666,10.011
2021/04/30,10.19,10.075714285714286,9.962666666666667,10.014333333333333
2021/04/29,10.23,10.107142857142858,9.982,10.018333333333334
2021/04/28,10.23,10.12857142857143,10.006,10.020666666666667
2021/04/27,10.23,10.161428571428571,10.038666666666668,10.023666666666665
2021/04/26,10.2,10.18142857142857,10.060666666666666,10.026333333333332
2021/04/23,10.14,10.197142857142856,10.081333333333335,10.027333333333335
2021/04/22,10.14,10.194285714285714,10.099333333333334,10.029
2021/04/21,10.07,10.177142857142858,10.112,10.029666666666666
2021/04/20,10.12,10.161428571428571,10.126,10.032000000000002
2021/04/19,10.18,10.154285714285715,10.137333333333334,10.038333333333334
2021/04/16,10.18,10.147142857142857,10.144000000000002,10.042666666666667
2021/04/15,10.18,10.144285714285715,10.156,10.046666666666665
2021/04/14,10.26,10.161428571428571,10.169333333333334,10.053
2021/04/13,10.21,10.171428571428573,10.181333333333333,10.059666666666667
2021/04/12,10.14,10.18142857142857,10.180000000000001,10.064333333333334
2021/04/09,10.14,10.184285714285716,10.176666666666666,10.069666666666667
2021/04/08,10.15,10.180000000000001,10.171333333333333,10.076666666666666
2021/04/07,10.11,10.17,10.163333333333334,10.084666666666667
2021/04/06,10.1,10.15857142857143,10.154666666666666,10.096666666666666
2021/04/01,10.0,10.12142857142857,10.141333333333334,10.100999999999999
2021/03/31,9.88,10.074285714285717,10.124,10.102666666666666
2021/03/30,9.76,10.02,10.098666666666666,10.098999999999998
2021/03/29,9.81,9.972857142857142,10.081333333333333,10.096666666666666
2021/03/26,9.79,9.921428571428573,10.059333333333335,10.092666666666666
2021/03/25,9.68,9.86,10.026,10.081666666666667
2021/03/24,9.87,9.827142857142858,10.005333333333333,10.074666666666667
2021/03/23,9.91,9.814285714285715,9.987333333333334,10.071666666666665
2021/03/22,9.92,9.819999999999999,9.964666666666666,10.067
2021/03/19,9.86,9.834285714285713,9.941333333333334,10.061333333333334
2021/03/18,9.92,9.85,9.926666666666668,10.053333333333335
2021/03/17,9.93,9.870000000000001,9.912666666666667,10.044666666666666
2021/03/16,10.06,9.924285714285714,9.906666666666666,10.038999999999998
2021/03/15,9.99,9.941428571428572,9.898666666666665,10.031
2021/03/12,10.01,9.955714285714285,9.892666666666665,10.023666666666665
2021/03/11,10.01,9.968571428571428,9.893333333333334,10.017333333333335
2021/03/10,9.98,9.985714285714286,9.9,10.011999999999999
2021/03/09,9.88,9.98,9.908,10.003333333333332
2021/03/08,9.84,9.967142857142859,9.91,9.995666666666667
